1	4096
2	3072
3	2048
4	1024
5	3840
6	2816
7	1792
8	768
9	3584
10	2560
11	1536
12	512
13	3328
14	2304
15	1280
16	256
17	4032
18	3008
19	1984
20	960
21	3776
22	2752
23	1728
24	704
25	3520
26	2496
27	1472
28	448
29	3264
30	2240
31	1216
32	192
33	3968
34	2944
35	1920
36	896
37	3712
38	2688
39	1664
40	640
41	3456
42	2432
43	1408
44	384
45	3200
46	2176
47	1152
48	128
49	3904
50	2880
51	1856
52	832
53	3648
54	2624
55	1600
56	576
57	3392
58	2368
59	1344
60	320
61	3136
62	2112
63	1088
64	64
65	4080
66	3056
67	2032
68	1008
69	3824
70	2800
71	1776
72	752
73	3568
74	2544
75	1520
76	496
77	3312
78	2288
79	1264
80	240
81	4016
82	2992
83	1968
84	944
85	3760
86	2736
87	1712
88	688
89	3504
90	2480
91	1456
92	432
93	3248
94	2224
95	1200
96	176
97	3952
98	2928
99	1904
100	880
101	3696
102	2672
103	1648
104	624
105	3440
106	2416
107	1392
108	368
109	3184
110	2160
111	1136
112	112
113	3888
114	2864
115	1840
116	816
117	3632
118	2608
119	1584
120	560
121	3376
122	2352
123	1328
124	304
125	3120
126	2096
127	1072
128	48
129	4064
130	3040
131	2016
132	992
133	3808
134	2784
135	1760
136	736
137	3552
138	2528
139	1504
140	480
141	3296
142	2272
143	1248
144	224
145	4000
146	2976
147	1952
148	928
149	3744
150	2720
151	1696
152	672
153	3488
154	2464
155	1440
156	416
157	3232
158	2208
159	1184
160	160
161	3936
162	2912
163	1888
164	864
165	3680
166	2656
167	1632
168	608
169	3424
170	2400
171	1376
172	352
173	3168
174	2144
175	1120
176	96
177	3872
178	2848
179	1824
180	800
181	3616
182	2592
183	1568
184	544
185	3360
186	2336
187	1312
188	288
189	3104
190	2080
191	1056
192	32
193	4048
194	3024
195	2000
196	976
197	3792
198	2768
199	1744
200	720
201	3536
202	2512
203	1488
204	464
205	3280
206	2256
207	1232
208	208
209	3984
210	2960
211	1936
212	912
213	3728
214	2704
215	1680
216	656
217	3472
218	2448
219	1424
220	400
221	3216
222	2192
223	1168
224	144
225	3920
226	2896
227	1872
228	848
229	3664
230	2640
231	1616
232	592
233	3408
234	2384
235	1360
236	336
237	3152
238	2128
239	1104
240	80
241	3856
242	2832
243	1808
244	784
245	3600
246	2576
247	1552
248	528
249	3344
250	2320
251	1296
252	272
253	3088
254	2064
255	1040
256	16
257	4092
258	3068
259	2044
260	1020
261	3836
262	2812
263	1788
264	764
265	3580
266	2556
267	1532
268	508
269	3324
270	2300
271	1276
272	252
273	4028
274	3004
275	1980
276	956
277	3772
